date,type,value,unit,model
2024-08-07 09:02:11,170,2.9000000000000004,-1,Body Smart
2024-08-07 09:02:11,226,1735.0,0,Body Smart
2024-08-07 09:02:11,6,20.761,-3,Body Smart
2024-08-06 21:51:12,1,76.113,-3,Body Smart
2024-08-06 21:51:12,5,60.46,-2,Body Smart
2024-08-06 21:51:12,8,15.64,-2,Body Smart
2024-08-06 21:51:12,76,57.44,-2,Body Smart
2024-08-06 21:51:12,77,43.12,-2,Body Smart
2024-08-06 21:51:12,88,3.02,-2,Body Smart
2024-08-06 21:51:12,170,2.9000000000000004,-1,Body Smart
2024-08-06 21:51:12,226,1755.0,0,Body Smart
2024-08-06 21:51:12,6,20.548000000000002,-3,Body Smart
2024-08-06 06:18:33,1,76.746,-3,Body Smart
2024-08-06 06:18:33,5,60.07,-2,Body Smart
2024-08-06 06:18:33,8,16.67,-2,Body Smart
2024-08-06 06:18:33,76,57.06,-2,Body Smart
2024-08-06 06:18:33,77,42.6,-2,Body Smart
2024-08-06 06:18:33,88,3.0,-2,Body Smart
2024-08-06 06:18:33,170,3.1,-1,Body Smart
2024-08-06 06:18:33,226,1745.0,0,Body Smart
2024-08-06 06:18:33,6,21.721,-3,Body Smart
2024-08-05 15:55:52,1,77.858,-3,Body Smart
2024-08-05 15:55:52,5,61.33,-2,Body Smart
2024-08-05 15:55:52,8,16.52,-2,Body Smart
2024-08-05 15:55:52,76,58.26,-2,Body Smart
2024-08-05 15:55:52,77,44.63,-2,Body Smart
2024-08-05 15:55:52,88,3.06,-2,Body Smart
2024-08-05 15:55:52,170,3.0,-1,Body Smart
2024-08-05 15:55:52,226,1783.0,0,Body Smart
2024-08-05 15:55:52,6,21.218,-3,Body Smart
2024-08-05 04:39:39,1,76.985,-3,Body Smart
2024-08-05 04:39:39,5,60.21,-2,Body Smart
2024-08-05 04:39:39,8,16.76,-2,Body Smart
2024-08-05 04:39:39,76,57.21,-2,Body Smart
2024-08-05 04:39:39,77,42.47,-2,Body Smart
2024-08-05 04:39:39,88,3.0,-2,Body Smart
2024-08-05 04:39:39,170,3.1,-1,Body Smart
2024-08-05 04:39:39,226,1749.0,0,Body Smart
2024-08-05 04:39:39,6,21.77,-3,Body Smart
2024-08-04 16:35:05,1,76.435,-3,Body Smart
2024-08-04 16:35:05,5,59.85,-2,Body Smart
2024-08-04 16:35:05,8,16.57,-2,Body Smart
2024-08-04 16:35:05,76,56.86,-2,Body Smart
2024-08-04 16:35:05,77,42.04,-2,Body Smart
2024-08-04 16:35:05,88,2.98,-2,Body Smart
2024-08-04 16:35:05,170,3.1,-1,Body Smart
2024-08-04 16:35:05,226,1738.0,0,Body Smart
2024-08-04 16:35:05,6,21.679000000000002,-3,Body Smart
2024-08-04 08:08:26,1,76.555,-3,Body Smart
2024-08-04 08:08:26,5,59.730000000000004,-2,Body Smart
2024-08-04 08:08:26,8,16.82,-2,Body Smart
